00:00:00.003; 00:00:00.442; 00:00:00.022;
00:00:00.014; 00:00:00.882; 00:00:00.028;
00:00:00.012; 00:00:01.411; 00:00:00.038;
00:00:00.014; 00:00:01.979; 00:00:00.054;
00:00:00.020; 00:00:02.612; 00:00:00.061;
00:00:00.020; 00:00:03.138; 00:00:00.072;
00:00:00.023; 00:00:03.450; 00:00:00.085;
00:00:00.026; 00:00:03.931; 00:00:00.091;
00:00:00.038; 00:00:05.966; 00:00:00.131;
00:00:00.047; 00:00:08.512; 00:00:00.189;
00:00:00.057; 00:00:10.542; 00:00:00.237;
00:00:00.068; 00:00:12.175; 00:00:00.278;
00:00:00.083; 00:00:14.898; 00:00:00.306;
00:00:00.090; 00:00:16.784; 00:00:00.345;
00:00:00.106; 00:00:18.695; 00:00:00.390;
00:00:00.118; 00:00:20.612; 00:00:00.455;
